Ra,Malla,Ux,Uy,Uz,U,Uxmax,Uxmin,Uymax,Uymin
1700,90x10x1,7.57E-08,-3.78E-06,0,3.78434E-06,3.64E-06,-3.65E-06,3.66E-06,-3.78E-06
1700,90x20x1,-8.19292E-07,-3.31475E-09,0,8.19299E-07,8.19002E-07,-8.19292E-07,8.04311E-07,-8.00715E-07
1700,90x50x1,8.42E-07,3.34E-08,5.71E-28,8.42405E-07,8.42E-07,-8.41E-07,7.89E-07,-8.14E-07
1800,90x10x1,-5.87E-05,-0.00298118,0,0.002981757,0.00282269,-0.00282138,0.00291258,-0.00298118
1800,90x20x1,2.01063E-06,-0.000360639,0,0.000360645,0.000351712,-0.000351536,0.000345999,-0.000360639
1800,90x50x1,-1.26E-05,7.42E-07,-2.40E-27,1.26672E-05,1.26E-05,-1.26E-05,1.22E-05,-1.26E-05
1900,90x10x1,-8.91E-05,-0.00427574,0,0.004276668,0.00397839,-0.00397834,0.00425819,-0.00427574
1900,90x20x1,4.65398E-05,0.00375122,4.45001E-22,0.003751509,0.00365721,-0.00365784,0.00375122,-0.00374949
1900,90x50x1,-3.20E-07,-0.0010649,0,0.0010649,0.00105254,-0.00105338,0.00102722,-0.0010649
